pub-authors,pub-title,publisher,Volume,pub-type,Pages,pub-year,Publisher,Keywords
"Qiu, Shunian; Zhang, Weijie; Feng, Fan; Li, Zhengwei; Li, Zhenhai; ",A stochastic chiller optimization operation strategy based on uncertainty analysis,IOP Conference Series: Earth and Environmental Science,238,conference,12023,2019,IOP Publishing,
"Pang, Zhihong; Feng, Fan; O'Neill, Zheng; ",Investigation of the impacts of COVID-19 on the electricity consumption of a university dormitory using weather normalization,arXiv preprint arXiv:2012.07748,,arXiv,,2020,,
"Feng, Fan; Kunwar, Niraj; Cetin, Kristen; O'Neill, Zheng; ",A critical review of fenestration/window system design methods for high performance buildings,Energy and Buildings,248,journal,111184,2021,Elsevier,
"Lu, Xing; Feng, Fan; O'Neill, Zheng; ",Occupancy Sensing in Buildings through Social Media from Semantic Analysis (OR-20-C031),2020 ASHRAE Winter Conference,,conference,,2020,ASHRAE,
"Feng, Fan; Fu, Yangyang; Yang, Zhiyao; O'Neill, Zheng; ",Enhancement of phase change material hysteresis model: A case study of modeling building envelope in EnergyPlus,Energy and Buildings,276,journal,112511,2022,Elsevier,
"Choi, Youngsik; Lu, Xing; O'Neill, Zheng; Feng, Fan; Yang, Tao; ",Optimization-informed rule extraction for HVAC system: A case study of dedicated outdoor air system control in a mixed-humid climate zone,Energy and Buildings,295,journal,113295,2023,Elsevier,
"Choi, Youngsik; Lu, Xing; O'Neill, Zheng; Feng, Fan; ",Optimal supply air temperature control for dedicated outdoor air system under varying climate zones,Building Simulation 2023,18,conference,3209-3216,2023,IBPSA,
"Choi, Youngsik; Zheng O'Neill PhD, PE; ",Energy Saving Potential Analysis for Primary Schools with Optimal Dedicated Outdoor Air System Control in Different Climate Zones,ASHRAE Transactions,130,conference,186-194,2024,"American Society of Heating, Refrigeration and Air Conditioning Engineers, Inc.",
"Wan, Hanlong; Zhang, Jian; Chen, Yan; Xu, Weili; Feng, Fan; ",Generative AI Application for Building Industry,arXiv e-prints,,arxiv,arXiv: 2410.01098,2024,,
"Qiu, Shunian; Feng, Fan; Zhang, Xuanzhe; Xu, Siyuan; Wu, Qian; ",Coding-free virtual flowmeter for building chilled water using pump VFD data and LLM,Flow Measurement and Instrumentation,,journal,102943,2025,Elsevier,
"Wan, Hanlong; Zhang, Jian; Chen, Yan; Xu, Weili; Feng, Fan; ",Exploring Gen-AI applications in building research and industry: A review,Building Simulation,,journal,23-Jan,2025,Springer,
"Khazaei, Armin; Pang, Zhihong; Su, Yen-Fang; Feng, Fan; ",Simulation-Based Exploration of the Thermal Performance and Construction Costs of 3D Concrete Printing (3DCP) Walls,,,conference,,,,
"Firsich, Thomas; Yang, Zhiyao; Feng, Fan; O'Neill, Zheng; ",Texas A&M Smart and Connected Homes Testbed (TAM-SCHT): An Evaluation and Demonstration Platform for Smart & Grid-interactive Technologies.,ASHRAE Transactions,128,conference,,2022,,
"Choi, Youngsik; Lu, Xing; Feng, Fan; O’Neill, Zheng; ",Large-scale energy cost optimization and performance analysis for dedicated outdoor air system: simulation results from ASHRAE RP-1865,Science and Technology for the Built Environment,30,journal,1217-1235,2024,Taylor & Francis,
"Feng, Fan; O'Neill, Zheng; Fu, Yangyang; Yang, Zhiyao; ",Enhancement of Energyplus Phase Change Material Hysteresis Model to Simulate Grid-Interactive Efficient Buildings (AT-23-C088),2023 ASHRAE Winter Conference,,conference,,2023,ASHRAE,
"Feng, Fan; Fu, Yangyang; Yang, Zhiyao; ",Enhancement of Energyplus Phase Change Material Hysteresis Model to Simulate Grid-Interactive Efficient Buildings.,ASHRAE Transactions,129,conference,,2023,,
